subcategory,week,price
Baño,2025-02-10/2025-02-16,11177.01
Baño,2025-02-17/2025-02-23,11177.01
Baño,2025-02-24/2025-03-02,11157.397878787879
Baño,2025-03-03/2025-03-09,10628.938571428573
Baño,2025-03-10/2025-03-16,10153.152857142857
Cocina,2025-02-10/2025-02-16,10634.327399267399
Cocina,2025-02-17/2025-02-23,10958.261033333334
Cocina,2025-02-24/2025-03-02,10209.146734006734
Cocina,2025-03-03/2025-03-09,9949.393625730994
Cocina,2025-03-10/2025-03-16,10081.322598425197
Cuidado Corporal,2025-02-10/2025-02-16,20147.396666666667
Cuidado Corporal,2025-02-17/2025-02-23,20387.593333333334
Cuidado Corporal,2025-02-24/2025-03-02,20387.593333333334
Cuidado Corporal,2025-03-03/2025-03-09,20387.593333333334
Cuidado Corporal,2025-03-10/2025-03-16,22589.17818181818
Hogar,2025-02-10/2025-02-16,16628.078916256156
Hogar,2025-02-17/2025-02-23,17014.690188679248
Hogar,2025-02-24/2025-03-02,18798.88255924171
Hogar,2025-03-03/2025-03-09,18593.66312
Hogar,2025-03-10/2025-03-16,18690.879772727272
Implementos para limpieza,2025-02-10/2025-02-16,37206.25
Implementos para limpieza,2025-02-17/2025-02-23,37206.25
Implementos para limpieza,2025-02-24/2025-03-02,37206.25
Implementos para limpieza,2025-03-03/2025-03-09,37206.25
Implementos para limpieza,2025-03-10/2025-03-16,37206.25
Insecticidas,2025-02-10/2025-02-16,15771.73708737864
Insecticidas,2025-02-17/2025-02-23,16346.472769953052
Insecticidas,2025-02-24/2025-03-02,16385.29852216749
Insecticidas,2025-03-03/2025-03-09,15997.168584070796
Insecticidas,2025-03-10/2025-03-16,15808.384905660378
Pisos y Muebles,2025-02-10/2025-02-16,4699.232499999999
Pisos y Muebles,2025-02-17/2025-02-23,4820.182592592593
Pisos y Muebles,2025-02-24/2025-03-02,4981.276587301587
Pisos y Muebles,2025-03-03/2025-03-09,4676.607647058823
Pisos y Muebles,2025-03-10/2025-03-16,4647.475957446808
Ropa,2025-02-10/2025-02-16,4164.66
Ropa,2025-02-17/2025-02-23,4164.66
Ropa,2025-02-24/2025-03-02,4164.66
Ropa,2025-03-03/2025-03-09,4164.66
Ropa,2025-03-10/2025-03-16,5503.949320987655
Servilletas y Toallas de Cocina,2025-02-10/2025-02-16,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-17/2025-02-23,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-24/2025-03-02,107334.46333333333
Servilletas y Toallas de Cocina,2025-03-03/2025-03-09,107334.46333333333
Servilletas y Toallas de Cocina,2025-03-10/2025-03-16,107334.46333333333
