product_name,available_quantity,subcategory
Suavizante Suavitel x2un x1000ml Ahorre 15%Fresca Primaver,7,Ropa
Stay Off! Amazonic Repelente De Insectos Aerosol x160ml,3,Cuidado Corporal
Pague 2 Lleve 3 Insecticida Raid Aerosol x390ml,1,Insecticidas
2Un Insecticida Baygon Aeros Azul Zancudos x285ml Gts Insecticida Baygon Aeros Verde x285ml,1,Insecticidas
1Un Glade Aerosol x275ml + Raid Max Aerosol x285ml Gts Zucaritas Megapaketicos x115gr,3,Insecticidas
Insecticida Aerosol Raid Elimina Voladores 285ml + Raid Max 285ml,1,Insecticidas
3Un Mr Músculo Desengrasante x250ml,1,Cocina
Limpia Pisos Frotex Lavanda Relax x950ml,2,Pisos y Muebles
Desodorante Rexona Clinical Clean x48gr,2,Cuidado Corporal
Baygon Repelente Sólido Espiral Para Insectos Voladores 48 Repuestos x52gr,2,Insecticidas
Stay Off! Familiar Repelente  De Insectos  Crema x200ml,6,Cuidado Corporal
Pague 13 Lleve 14 Bombillo Led Philips Pila 10W Luz Blanca,2,Hogar
Pague 13 Lleve 14 Bombillo Led Philips Pila 6W Luz Blanca,2,Hogar
Quitagrasa Easy Off Bang Limón x12Un x500ml,2,Hogar
Bombillo Led Bulb 22W-E27 6500K W A25,2,Hogar
Detergente Liquido Dersa x900ml,1,Ropa
Desodorante Lady Speed Stick Pro-5 Roll On 50ml,4,Cuidado Corporal
Detergente AS Bicarbonato + Manzana Verde x125gr,1,Ropa
Toalla De Papel De Cocina Elite Center Flow TH Natural x6 Rollos,7,Servilletas y Toallas de Cocina
Detergente AS Bicarbonato + Jabón Rey x125gr,3,Ropa
2Un Desen MrMusculo DoyPack x250ml + Ambt Glade Aerosol x275ml Gts Ambt Glade Gel Pote x70gr,1,Cocina
2Un Desen Mr Musculo DoyPack x250ml + Ambie Glade Aero x275ml Gts Ambien Glade Gel Pote x70gr,1,Cocina
Insect RaidMaxAerosolx285ml + AmbGlade Aerosolx275ml Gts Desod PastillaTanquePato Bolsax40gr,2,Insecticidas
Insec Raid Max Aero x285ml + Ambien Glade Aerox275ml Gts Desodor Pastilla Tanque Pato Bolsa x40gr,2,Insecticidas
Desengrasante Mr Musculo Doypack Naranja x2 Und x500ml,1,Cocina
